ID,Date,Game,Earnings,Players,Tournaments
5734,2020-01-01,Call of Duty: Modern Warfare,267300.0,106,4
5735,2020-01-01,FIFA 20,216402.71,76,5
5736,2020-01-01,League of Legends,209885.86,153,3
5737,2020-01-01,PLAYERUNKNOWNS BATTLEGROUNDS,138652.0,75,3
5738,2020-01-01,WarCraft III,72425.8,18,8
5739,2020-01-01,Super Smash Bros. Ultimate,65253.14,171,32
5740,2020-01-01,Rainbow Six Siege,49303.25,65,3
5741,2020-01-01,Age of Empires II,41565.49,36,17
5742,2020-01-01,F1 2019,38047.38,3,1
5743,2020-01-01,StarCraft II,37297.5,83,28
5744,2020-01-01,Free Fire,33000.0,8,1
5745,2020-01-01,Assetto Corsa,30996.0,1,1
5746,2020-01-01,Tekken 7,24397.06,29,4
5747,2020-01-01,Super Smash Bros. Melee,20195.12,27,3
5748,2020-01-01,Street Fighter V: Arcade Edition,20036.79,16,2
5749,2020-01-01,UNO,20000.0,16,2
5750,2020-01-01,Rivals of Aether,19552.0,17,2
5751,2020-01-01,Rocket League,14551.96,85,20
5752,2020-01-01,Farming Simulator 19,13180.7,24,1
5753,2020-01-01,Chess.com,13110.0,19,4
5754,2020-01-01,Age of Empires,11954.0,50,1
5755,2020-01-01,Overwatch,11862.0,39,2
5756,2020-01-01,Dirt Rally 2.0,10000.0,5,2
5757,2020-01-01,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,8096.0,23,1
5758,2020-01-01,Shadowverse,7900.0,16,2
5759,2020-01-01,rFactor 2,6818.94,3,1
5760,2020-01-01,iRacing.com,4200.0,6,1
5761,2020-01-01,Guilty Gear Xrd REV 2,4170.0,9,2
5762,2020-01-01,TrackMania 2: Stadium,2912.98,17,6
5763,2020-01-01,Fantasy Strike,2610.0,8,1
5764,2020-01-01,Samurai Shodown (2019),2510.0,8,1
5765,2020-01-01,Under Night In-Birth EXE: Late[st],2200.0,8,1
5766,2020-01-01,Mystery Game Tournament,1920.0,8,1
5767,2020-01-01,Dragon Ball FighterZ,1580.0,8,1
5768,2020-01-01,Unreal Tournament (2016),1556.98,53,1
5769,2020-01-01,BlazBlue: Cross Tag Battle,1520.0,8,1
5770,2020-01-01,Skullgirls 2nd Encore,1480.0,8,1
5771,2020-01-01,Mario Kart 8 Deluxe,1305.0,24,2
5772,2020-01-01,Splatoon 2,1270.0,13,1
5773,2020-01-01,WarCraft III: Reforged,1250.0,6,2
5774,2020-01-01,Lichess,1100.0,8,2
5775,2020-01-01,Soul Calibur VI,1050.0,8,1
5776,2020-01-01,Windjammers,1000.0,10,2
5777,2020-01-01,Mortal Kombat 11,980.0,8,1
5778,2020-01-01,Super Smash Bros.,940.0,11,2
5779,2020-01-01,Street Fighter III: 3rd Strike,880.0,8,1
5780,2020-01-01,Melty Blood: Actress Again Current Code,720.0,8,1
5781,2020-01-01,Ultimate Marvel vs. Capcom 3,630.0,3,1
5782,2020-01-01,BlazBlue: Central Fiction,600.0,3,1
5783,2020-01-01,Super Street Fighter II Turbo,590.0,6,2
5784,2020-01-01,Guilty Gear XX Accent Core Plus R,550.0,3,1
5785,2020-01-01,Pokkén Tournament DX,520.0,3,1
5786,2020-01-01,Vampire Savior,520.0,3,1
5787,2020-01-01,Marvel vs. Capcom: Infinite,490.0,3,1
5788,2020-01-01,Age of Empires III,380.0,4,1
5789,2020-01-01,Artifact,365.0,6,5
5790,2020-01-01,King of Fighters XIV,340.0,3,1
5791,2020-01-01,Them's Fightin' Herds,340.0,5,2
5792,2020-01-01,Team Fortress 2,337.92,18,1
5793,2020-01-01,Power Rangers: Battle for the Grid,330.0,3,1
5794,2020-01-01,Sailor Moon S,310.0,3,1
5795,2020-01-01,Dota Underlords,305.25,4,5
5796,2020-01-01,Dead or Alive 6,250.0,3,1
5797,2020-01-01,Capcom vs. SNK 2,240.0,3,1
5798,2020-01-01,Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,220.0,3,1
5799,2020-01-01,Brawlhalla,172.9,10,4
5800,2020-01-01,Kill la Kill the Game: IF,70.0,3,1
5801,2020-02-01,Rainbow Six Siege,3003461.84,105,3
5802,2020-02-01,Magic: The Gathering Arena,1100000.0,28,2
5803,2020-02-01,Counter-Strike: Global Offensive,962945.58,596,48
5804,2020-02-01,Fortnite,517760.0,106,2
5805,2020-02-01,Hearthstone,502500.0,131,2
5806,2020-02-01,FIFA 20,365897.65,117,7
5807,2020-02-01,Dota 2,358087.0,65,4
5808,2020-02-01,PLAYERUNKNOWNS BATTLEGROUNDS,347607.77,226,8
5809,2020-02-01,Call of Duty: Modern Warfare,235150.0,82,5
5810,2020-02-01,League of Legends,203917.0,105,4
5811,2020-02-01,Dragon Ball FighterZ,80476.76,20,2
5812,2020-02-01,Super Smash Bros. Melee,74897.54,51,8
5813,2020-02-01,Chess.com,52000.0,27,3
5814,2020-02-01,WarCraft III: Reforged,34006.74,34,16
5815,2020-02-01,Super Smash Bros. Ultimate,33899.02,173,39
5816,2020-02-01,StarCraft II,18042.34,58,29
5817,2020-02-01,TrackMania 2: Stadium,14219.15,56,11
5818,2020-02-01,Shadowverse,8000.0,16,2
5819,2020-02-01,Rocket League,7248.74,37,14
5820,2020-02-01,Age of Empires II,3921.99,14,9
5821,2020-02-01,iRacing.com,3540.0,5,1
5822,2020-02-01,Dota Underlords,3083.25,9,2
5823,2020-02-01,StarCraft: Brood War,2468.0,19,2
5824,2020-02-01,FIFA Online 4,2240.0,3,1
5825,2020-02-01,Pokkén Tournament DX,2216.43,6,2
5826,2020-02-01,rFactor 2,1888.86,3,1
